time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-22T00:57:28.420Z,33.188,-115.6056667,1.66,1.41,ml,36,43,0.01343,0.24,ci,ci39440847,2020-10-22T17:23:30.161Z,"10km SW of Niland, CA",earthquake,0.19,0.21,0.239,15,reviewed,ci,ci
2020-10-22T00:57:57.150Z,33.1863333,-115.602,1.89,1.78,ml,45,64,0.01446,0.22,ci,ci39440855,2020-10-22T17:47:20.800Z,"10km SW of Niland, CA",earthquake,0.16,0.2,0.222,17,reviewed,ci,ci
2020-10-22T01:56:08.930Z,33.1816667,-115.601,2.39,1.29,ml,34,56,0.01297,0.23,ci,ci39440863,2020-10-22T18:07:26.003Z,"10km SW of Niland, CA",earthquake,0.2,0.2,0.234,9,reviewed,ci,ci
2020-10-22T18:23:40.580Z,33.1825,-115.5593333,6.1,0.5,mh,6,89,0.05303,0.2,ci,ci37458589,2020-10-22T21:00:00.970Z,"7km SSW of Niland, CA",earthquake,1.09,3.08,,0,reviewed,ci,ci
2020-10-22T20:14:25.330Z,33.1931667,-115.5698333,3.08,1.64,ml,21,58,0.04148,0.18,ci,ci39442015,2020-10-22T20:37:35.934Z,"7km SW of Niland, CA",earthquake,0.28,0.32,0.206,14,reviewed,ci,ci
2020-10-22T20:31:38.160Z,33.1971667,-115.5758333,3.37,1.4,ml,19,67,0.03873,0.21,ci,ci39442023,2020-10-22T20:43:51.966Z,"7km SW of Niland, CA",earthquake,0.32,0.35,0.271,10,reviewed,ci,ci
2020-10-22T20:44:46.620Z,33.1953333,-115.5731667,3.14,1.46,ml,9,82,0.03982,0.19,ci,ci39442047,2020-10-26T17:48:30.615Z,"7km SW of Niland, CA",earthquake,0.37,0.53,0.154,4,reviewed,ci,ci
2020-10-22T20:45:28.390Z,33.192,-115.58,3.21,2.52,ml,42,45,0.03321,0.21,ci,ci39442031,2020-11-02T20:12:07.040Z,"8km SW of Niland, CA",earthquake,0.2,0.27,0.15,61,reviewed,ci,ci
2020-10-22T20:52:26.230Z,33.197,-115.5838333,2.42,2.25,ml,62,45,0.03303,0.26,ci,ci39442071,2020-10-22T22:11:28.939Z,"8km SW of Niland, CA",earthquake,0.19,0.34,0.192,19,reviewed,ci,ci
2020-10-22T20:53:38.390Z,33.1943333,-115.5766667,2.88,1.64,ml,27,67,0.03676,0.2,ci,ci39442063,2020-10-22T23:45:27.056Z,"7km SW of Niland, CA",earthquake,0.24,0.28,0.147,12,reviewed,ci,ci
2020-10-22T20:55:12.050Z,33.202,-115.5818333,2.29,1.13,ml,18,80,0.03744,0.19,ci,ci39442095,2020-10-22T22:23:33.605Z,"7km SW of Niland, CA",earthquake,0.25,0.33,0.194,4,reviewed,ci,ci
2020-10-22T20:55:27.780Z,33.1923333,-115.5755,2.97,1.34,ml,25,51,0.03678,0.26,ci,ci37458597,2020-10-23T14:14:20.798Z,"8km SW of Niland, CA",earthquake,0.29,0.39,0.016,6,reviewed,ci,ci
2020-10-22T20:56:47.820Z,33.2033333,-115.5783333,2.62,1.49,ml,20,69,0.04055,0.21,ci,ci39442087,2020-10-22T21:22:02.756Z,"7km SW of Niland, CA",earthquake,0.34,0.55,0.139,2,reviewed,ci,ci
2020-10-22T20:56:50.980Z,33.1966667,-115.5825,3.42,1.86,ml,33,66,0.03375,0.17,ci,ci39442079,2020-10-22T23:51:10.092Z,"8km SW of Niland, CA",earthquake,0.21,0.24,0.171,25,reviewed,ci,ci
2020-10-22T20:59:26.460Z,33.2,-115.5845,3.03,3.91,mw,101,37,0.03445,0.26,ci,ci39442103,2020-11-09T22:11:24.574Z,"8km SW of Niland, CA",earthquake,0.14,0.24,,6,reviewed,ci,ci
2020-10-22T21:01:40.640Z,33.202,-115.5858333,2.25,2.74,ml,37,45,0.03497,0.23,ci,ci39442127,2020-10-22T22:25:03.279Z,"8km SW of Niland, CA",earthquake,0.26,0.38,0.152,23,reviewed,ci,ci
2020-10-22T21:02:16.190Z,33.2065,-115.59,2.18,2.73,ml,39,38,0.0359,0.19,ci,ci39442119,2020-10-23T06:03:02.490Z,"8km WSW of Niland, CA",earthquake,0.2,0.29,0.234,17,reviewed,ci,ci
2020-10-22T21:03:29.530Z,33.2048333,-115.5838333,3.86,2.02,ml,16,78,0.03816,0.27,ci,ci37458613,2020-10-22T22:44:24.694Z,"7km WSW of Niland, CA",earthquake,0.36,0.4,0.297,6,reviewed,ci,ci
2020-10-22T21:03:51.650Z,33.2041667,-115.5795,3.49,1.42,ml,10,106,0.04034,0.21,ci,ci37458629,2020-10-22T22:47:51.020Z,"7km SW of Niland, CA",earthquake,0.38,0.36,0.127,3,reviewed,ci,ci
2020-10-22T21:04:17.810Z,33.202,-115.5748333,1.59,1.31,ml,19,82,0.04206,0.3,ci,ci37458621,2020-10-22T23:28:19.706Z,"7km SW of Niland, CA",earthquake,0.41,0.6,0.134,2,reviewed,ci,ci
2020-10-22T21:05:00.960Z,33.1985,-115.5731667,2.21,1.82,ml,20,67,0.04133,0.2,ci,ci37458637,2020-10-22T23:46:47.065Z,"7km SW of Niland, CA",earthquake,0.32,0.48,0.146,30,reviewed,ci,ci
2020-10-22T21:07:38.920Z,33.2035,-115.5761667,3.46,2.22,ml,19,82,0.04207,0.17,ci,ci37458645,2020-10-23T00:20:31.652Z,"7km SW of Niland, CA",earthquake,0.34,0.41,0.075,3,reviewed,ci,ci
2020-10-22T21:07:39.830Z,33.201,-115.5806667,3.44,2.5,ml,23,49,0.0394,0.17,ci,ci39442143,2020-10-23T00:13:24.110Z,"7km SW of Niland, CA",earthquake,0.29,0.43,0.132,27,reviewed,ci,ci
2020-10-22T21:16:40.010Z,33.1951667,-115.5731667,3.67,0.73,ml,11,82,0.03975,0.2,ci,ci39442167,2020-10-23T00:30:27.084Z,"7km SW of Niland, CA",earthquake,0.39,0.5,0.024,2,reviewed,ci,ci
2020-10-22T21:17:15.840Z,33.1891667,-115.5728333,3.15,1.57,ml,23,81,0.03775,0.18,ci,ci39442175,2020-10-23T16:56:40.914Z,"8km SW of Niland, CA",earthquake,0.23,0.24,0.193,22,reviewed,ci,ci
2020-10-22T21:19:58.390Z,33.1958333,-115.5806667,3.07,1.45,ml,36,37,0.03458,0.2,ci,ci39442199,2020-10-23T14:25:25.736Z,"8km SW of Niland, CA",earthquake,0.18,0.24,0.197,11,reviewed,ci,ci
2020-10-22T21:20:22.100Z,33.1898333,-115.5878333,3.86,1.71,ml,28,65,0.02638,0.25,ci,ci37458605,2020-10-23T14:35:37.119Z,"8km SW of Niland, CA",earthquake,0.25,0.26,0.193,4,reviewed,ci,ci
2020-10-22T21:22:03.390Z,33.1981667,-115.5796667,2.65,2.83,ml,53,46,0.03655,0.24,ci,ci39442191,2020-10-23T00:16:16.040Z,"7km SW of Niland, CA",earthquake,0.19,0.29,0.172,126,reviewed,ci,ci
2020-10-22T21:22:52.460Z,33.1978333,-115.5705,2.33,1.62,ml,14,93,0.04296,0.19,ci,ci39442183,2020-10-22T22:23:43.271Z,"7km SW of Niland, CA",earthquake,0.29,0.44,,1,reviewed,ci,ci
2020-10-22T21:36:28.100Z,33.2005,-115.5871667,3.5,1.51,ml,14,108,0.03313,0.2,ci,ci39442207,2020-10-23T14:09:41.642Z,"8km SW of Niland, CA",earthquake,0.35,0.35,0.222,6,reviewed,ci,ci
2020-10-22T21:36:42.650Z,33.1955,-115.5923333,4.38,1.25,ml,13,102,0.02656,0.21,ci,ci39442215,2020-10-23T00:41:33.421Z,"8km SW of Niland, CA",earthquake,0.4,0.77,0.301,14,reviewed,ci,ci
2020-10-22T21:37:56.100Z,33.1935,-115.5815,3.37,2.22,ml,49,44,0.03279,0.22,ci,ci39442223,2020-10-23T00:38:29.180Z,"8km SW of Niland, CA",earthquake,0.2,0.27,0.127,87,reviewed,ci,ci
2020-10-22T21:51:41.630Z,33.2006667,-115.5958333,3.95,1.31,ml,13,117,0.02843,0.23,ci,ci39442239,2020-10-22T23:52:36.174Z,"8km WSW of Niland, CA",earthquake,0.53,0.46,0.266,5,reviewed,ci,ci
2020-10-22T21:57:03.560Z,33.1875,-115.5743333,3.29,1.85,ml,53,45,0.03606,0.22,ci,ci39442255,2020-10-23T14:47:58.715Z,"8km SW of Niland, CA",earthquake,0.17,0.23,0.183,17,reviewed,ci,ci
2020-10-22T21:58:29.820Z,33.1895,-115.5676667,2.76,1.05,ml,9,92,0.04198,0.21,ci,ci37458677,2020-10-26T17:54:11.828Z,"7km SW of Niland, CA",earthquake,0.44,0.64,0.21,5,reviewed,ci,ci
2020-10-22T21:59:01.200Z,33.1983333,-115.588,4.23,1.44,ml,17,75,0.03115,0.21,ci,ci39442263,2020-10-23T14:32:46.228Z,"8km SW of Niland, CA",earthquake,0.32,0.64,0.383,6,reviewed,ci,ci
2020-10-22T22:41:14.070Z,33.1988333,-115.5885,3.81,1.8,ml,20,45,0.03117,0.18,ci,ci39442295,2020-10-23T14:53:32.223Z,"8km SW of Niland, CA",earthquake,0.3,0.29,0.302,14,reviewed,ci,ci
2020-10-22T22:54:02.630Z,33.1953333,-115.5821667,3.22,1.17,ml,19,57,0.03325,0.2,ci,ci39442327,2020-10-23T00:56:02.902Z,"8km SW of Niland, CA",earthquake,0.26,0.3,0.33,15,reviewed,ci,ci
2020-10-22T22:54:26.920Z,33.2051667,-115.574,2.97,0.92,ml,10,103,0.04452,0.22,ci,ci37458653,2020-10-23T01:03:01.250Z,"6km SW of Niland, CA",earthquake,0.42,0.62,0.018,4,reviewed,ci,ci
2020-10-22T23:01:25.250Z,33.2045,-115.5723333,1.95,1.24,ml,9,97,0.04523,0.21,ci,ci39442335,2020-10-23T00:49:45.338Z,"6km SW of Niland, CA",earthquake,0.5,0.87,0.359,5,reviewed,ci,ci
2020-10-22T23:07:03.520Z,33.2038333,-115.5863333,3.68,1.44,ml,23,68,0.03599,0.19,ci,ci39442359,2020-10-23T15:38:28.494Z,"8km WSW of Niland, CA",earthquake,0.2,0.23,0.247,25,reviewed,ci,ci
2020-10-22T23:49:24.990Z,33.2016667,-115.577,3.81,1.44,ml,24,59,0.0404,0.19,ci,ci39442431,2020-10-23T16:07:15.658Z,"7km SW of Niland, CA",earthquake,0.22,0.27,0.211,24,reviewed,ci,ci
2020-10-23T03:52:22.480Z,33.1778333,-115.6151667,2.47,1.35,ml,30,60,0.0005374,0.21,ci,ci39442567,2020-10-23T04:18:28.950Z,"11km WNW of Calipatria, CA",earthquake,0.27,0.19,0.162,35,reviewed,ci,ci
2020-10-23T04:25:50.310Z,33.2028333,-115.5771667,2.29,1.25,ml,15,97,0.041,0.24,ci,ci39442607,2020-10-23T04:48:25.785Z,"7km SW of Niland, CA",earthquake,0.38,0.56,0.258,19,reviewed,ci,ci
2020-10-23T06:32:09.970Z,33.1881667,-115.5825,3.94,2.91,ml,99,37,0.02977,0.25,ci,ci39442679,2020-11-05T05:50:06.040Z,"8km SW of Niland, CA",earthquake,0.14,0.26,0.127,23,reviewed,ci,ci
2020-10-23T06:34:16.440Z,33.1975,-115.5781667,2.18,2.22,ml,80,37,0.03724,0.22,ci,ci39442687,2020-10-23T17:33:53.553Z,"7km SW of Niland, CA",earthquake,0.13,0.2,0.15,27,reviewed,ci,ci
2020-10-23T15:09:40.260Z,33.197,-115.589,4.51,1.25,ml,8,105,0.02964,0.25,ci,ci39442919,2020-10-23T17:25:55.450Z,"8km SW of Niland, CA",earthquake,0.8,1.72,0.107,3,reviewed,ci,ci
2020-10-26T03:14:28.790Z,33.1946667,-115.5983333,3.71,1.26,ml,8,94,0.02247,0.23,ci,ci37459045,2020-10-26T18:08:05.074Z,"9km SW of Niland, CA",earthquake,1.14,1.03,0.048,2,reviewed,ci,ci
2020-10-26T03:14:40.520Z,33.1955,-115.578,1.3,1.47,ml,16,67,0.03633,0.15,ci,ci39445023,2020-10-26T18:04:31.430Z,"7km SW of Niland, CA",earthquake,0.24,0.44,0.138,26,reviewed,ci,ci
2020-10-26T03:30:36.570Z,33.198,-115.5831667,0.98,1.76,ml,30,45,0.03407,0.22,ci,ci39445031,2020-10-26T15:33:12.210Z,"8km SW of Niland, CA",earthquake,0.23,0.38,0.144,50,reviewed,ci,ci
2020-10-27T19:41:53.410Z,33.1906667,-115.614,2.93,1.89,ml,26,84,0.0104,0.21,ci,ci39446655,2020-10-27T20:49:40.605Z,"10km WSW of Niland, CA",earthquake,0.32,0.18,0.235,8,reviewed,ci,ci
2020-10-27T19:42:01.880Z,33.2346667,-115.6183333,1.51,1.92,ml,10,213,0.05152,0.29,ci,ci37459117,2020-10-27T20:59:28.814Z,"9km W of Niland, CA",earthquake,0.76,1.22,0.572,6,reviewed,ci,ci
2020-10-27T19:42:31.090Z,33.2101667,-115.5396667,1.21,1.88,ml,25,121,0.07156,0.26,ci,ci39446663,2020-10-28T15:28:19.745Z,"4km SSW of Niland, CA",earthquake,0.44,0.63,0.264,13,reviewed,ci,ci
2020-10-27T19:42:38.640Z,33.1886667,-115.6111667,2.21,2.05,ml,23,84,0.01104,0.26,ci,ci37459197,2020-10-28T15:41:36.996Z,"10km WSW of Niland, CA",earthquake,0.37,0.21,0.203,38,reviewed,ci,ci
2020-10-27T19:46:00.140Z,33.18,-115.6191667,2.4,2.01,ml,58,61,0.003888,0.21,ci,ci39446679,2020-10-28T17:18:04.640Z,"12km SW of Niland, CA",earthquake,0.16,0.19,0.164,24,reviewed,ci,ci
2020-10-27T19:51:25.680Z,33.185,-115.6143333,2.95,1.68,ml,41,57,0.007155,0.22,ci,ci39446711,2020-10-28T14:43:29.644Z,"11km SW of Niland, CA",earthquake,0.2,0.23,0.206,11,reviewed,ci,ci
2020-10-27T19:51:58.410Z,33.2105,-115.6086667,1.49,1.86,ml,11,108,0.02968,0.16,ci,ci39446719,2020-10-27T23:28:02.282Z,"9km WSW of Niland, CA",earthquake,0.4,0.51,0.116,3,reviewed,ci,ci
2020-10-27T20:03:04.820Z,33.1918333,-115.617,2.84,1.68,ml,32,57,0.009857,0.24,ci,ci39446727,2020-10-28T15:24:38.870Z,"11km WSW of Niland, CA",earthquake,0.26,0.22,0.159,8,reviewed,ci,ci
2020-10-27T20:09:12.840Z,33.1738333,-115.6265,3.43,1.56,ml,19,68,0.009804,0.24,ci,ci39446735,2020-10-28T15:49:49.038Z,"12km WNW of Calipatria, CA",earthquake,0.38,0.18,0.305,5,reviewed,ci,ci
2020-10-27T20:23:38.890Z,33.1833333,-115.6148333,2.67,2.15,ml,72,36,0.005886,0.25,ci,ci39446751,2020-10-28T16:39:00.465Z,"11km SW of Niland, CA",earthquake,0.17,0.25,0.179,29,reviewed,ci,ci
2020-10-27T20:49:44.240Z,33.184,-115.6131667,3.31,1.56,ml,46,47,0.006835,0.26,ci,ci39446767,2020-10-28T17:19:00.684Z,"11km SW of Niland, CA",earthquake,0.23,0.3,0.249,15,reviewed,ci,ci
2020-10-27T21:22:45.870Z,33.1848333,-115.616,3.56,2.14,ml,48,39,0.005765,0.26,ci,ci39446783,2020-10-28T17:29:38.752Z,"11km SW of Niland, CA",earthquake,0.21,0.23,0.375,9,reviewed,ci,ci
2020-10-28T05:50:38.280Z,33.1868333,-115.6001667,2.77,1.09,ml,9,93,0.01599,0.18,ci,ci39447175,2020-10-28T14:34:32.119Z,"10km SW of Niland, CA",earthquake,0.46,0.47,0.071,4,reviewed,ci,ci
2020-10-31T12:27:13.130Z,33.1978333,-115.5953333,3.4,1.3,ml,37,44,0.0265,0.21,ci,ci39451767,2020-11-02T19:58:05.407Z,"8km WSW of Niland, CA",earthquake,0.18,0.24,0.303,8,reviewed,ci,ci
2020-11-05T06:34:15.590Z,33.191,-115.5951667,2.6,1.3,ml,11,99,0.02184,0.2,ci,ci39457303,2020-11-05T14:56:31.074Z,"9km SW of Niland, CA",earthquake,0.47,0.56,0.005,3,reviewed,ci,ci
2020-11-06T16:51:36.720Z,33.1811667,-115.6053333,4.82,1.59,ml,14,75,0.009397,0.16,ci,ci39459199,2020-11-06T21:04:34.061Z,"10km SW of Niland, CA",earthquake,0.3,0.39,0.317,8,reviewed,ci,ci
2020-11-06T16:53:23.940Z,33.1765,-115.5996667,3.85,1.54,ml,26,61,0.01343,0.19,ci,ci39459207,2020-11-06T21:12:11.099Z,"10km NW of Calipatria, CA",earthquake,0.21,0.23,0.229,27,reviewed,ci,ci
